,Date,Team,Acquired,Relinquished,Notes,Duration,Year,Season
6649,2018-10-27,Grizzlies,2018-11-02,Chandler Parsons,placed on IL,6.0,2018,post
6650,2018-10-27,Hawks,2018-11-01,Alex Poythress,placed on IL with left knee injury,5.0,2018,post
6651,2018-10-27,Hornets,2018-10-30,(William) Tony Parker,placed on IL,3.0,2018,post
6652,2018-10-27,Pelicans,2018-10-29,Anthony Davis,placed on IL with sprained right elbow,2.0,2018,post
6653,2018-10-27,Pelicans,2018-11-03,Darius Miller,placed on IL with bruised right quadriceps,7.0,2018,post
6654,2018-10-27,Pistons,2018-12-03,Luke Kennard,placed on IL with right shoulder injury,37.0,2018,post
6655,2018-10-27,Suns,2018-11-02,Devin Booker,placed on IL with strained left hamstring,6.0,2018,post
6656,2018-10-28,Jazz,2018-10-31,Derrick Favors,placed on IL with sore left knee,3.0,2018,post
6657,2018-10-28,Thunder,2018-10-30,Steven Adams,placed on IL with calf injury,2.0,2018,post
6658,2018-10-28,Warriors,2018-11-12,Shaun Livingston,placed on IL with sore right foot,15.0,2018,post
6659,2018-10-29,Blazers,2018-11-21,Maurice Harkless / Moe Harkless,placed on IL with left knee injury,23.0,2018,post
6660,2018-10-29,Bucks,2018-11-01,Giannis Antetokounmpo,placed on IL with concussion,3.0,2018,post
6661,2018-10-29,Kings,2018-10-30,Skal Labissiere,placed on IL,1.0,2018,post
6662,2018-10-29,Pacers,2018-12-04,Alize Johnson,placed on IL,36.0,2018,post
6663,2018-10-29,Pelicans,2018-11-16,Elfrid Payton,placed on IL with sprained right ankle,18.0,2018,post
6664,2018-10-29,Raptors,2018-10-30,Kawhi Leonard,placed on IL,1.0,2018,post
6665,2018-10-30,Celtics,2018-11-11,Daniel Theis,placed on IL with plantar fascia in right foot,12.0,2018,post
6666,2018-10-30,Grizzlies,2018-11-12,Yuta Watanabe,placed on IL,13.0,2018,post
6667,2018-10-30,Hornets,2018-11-11,Devonte' Graham,placed on IL,12.0,2018,post
6668,2018-10-30,Kings,2018-11-01,Iman Shumpert,placed on IL,2.0,2018,post
6669,2018-10-30,Raptors,2018-11-17,Chris Boucher,placed on IL,18.0,2018,post
6670,2018-10-30,Wizards,2018-11-02,Markieff Morris,placed on IL with concussion,3.0,2018,post
6671,2018-10-31,Timberwolves,2018-11-02,Jimmy Butler,placed on IL,2.0,2018,post
6672,2018-11-01,Celtics,2018-11-03,Jaylen Brown,placed on IL with sore right foot,2.0,2018,post
6673,2018-11-01,Hawks,2018-12-08,Jaylen Adams,placed on IL,37.0,2018,post
6674,2018-11-02,Jazz,2018-11-03,Donovan Mitchell,placed on IL with right hamstring injury,1.0,2018,post
6675,2018-11-02,Magic,2018-11-04,Jonathon Simmons,placed on IL with right wrist injury,2.0,2018,post
6676,2018-11-02,Raptors,2018-11-04,Malachi Richardson,placed on IL,2.0,2018,post
6677,2018-11-02,Suns,2018-11-04,De'Anthony Melton,placed on IL,2.0,2018,post
6678,2018-11-02,Timberwolves,2018-11-12,Jeff Teague,placed on IL with bruised left knee,10.0,2018,post
6679,2018-11-02,Wizards,2018-11-04,Jordan McRae,placed on IL,2.0,2018,post
6680,2018-11-04,76ers,2018-11-07,Wilson Chandler,placed on IL,3.0,2018,post
6681,2018-11-04,Magic,2018-11-14,Jonathan Isaac,placed on IL with sprained right ankle,10.0,2018,post
6682,2018-11-04,Raptors,2018-11-07,Kawhi Leonard,placed on IL with sore left ankle,3.0,2018,post
6683,2018-11-04,Suns,2018-11-06,T.J. Warren,placed on IL with lower back spasms,2.0,2018,post
6684,2018-11-04,Timberwolves,2018-11-05,Jimmy Butler,placed on IL,1.0,2018,post
6685,2018-11-04,Wizards,2018-11-06,Otto Porter Jr.,placed on IL with left big toe injury,2.0,2018,post
6686,2018-11-05,Clippers,2018-11-19,Avery Bradley,placed on IL with sprained left ankle,14.0,2018,post
6687,2018-11-05,Jazz,2018-11-07,Donovan Mitchell,placed on IL with sprained left ankle,2.0,2018,post
6688,2018-11-05,Pistons,2018-11-07,Reggie Bullock,placed on IL with left ankle injury,2.0,2018,post
6689,2018-11-05,Rockets,2018-11-10,Eric Gordon,placed on IL with strained right adductor,5.0,2018,post
6690,2018-11-05,Warriors,2018-11-08,Andre Iguodala,placed on IL,3.0,2018,post
6691,2018-11-05,Knicks,2018-12-01,Luke Kornet,placed on IL,26.0,2018,post
6692,2018-11-06,Blazers,2018-11-08,Gary Trent Jr.,placed on IL,2.0,2018,post
6693,2018-11-06,Hawks,2018-11-07,Taurean Prince,placed on IL with sprained right ankle,1.0,2018,post
6694,2018-11-06,Nets,2018-11-14,Dzanan Musa,placed on IL,8.0,2018,post
6695,2018-11-06,Suns,2018-11-14,De'Anthony Melton,placed on IL,8.0,2018,post
6696,2018-11-06,Wizards,2018-11-20,Jordan McRae,placed on IL,14.0,2018,post
6697,2018-11-07,76ers,2018-11-10,Mike Muscala,placed on IL with fractured nose,3.0,2018,post
6698,2018-11-07,Cavaliers,2018-11-24,George Hill,placed on IL with sprained right shoulder,17.0,2018,post
6699,2018-11-07,Cavaliers,2018-11-28,Sam Dekker,placed on IL with sprained left ankle,21.0,2018,post
6700,2018-11-07,Grizzlies,2018-11-18,JaMychal Green,placed on IL with fractured jaw,11.0,2018,post
6701,2018-11-07,Grizzlies,2018-11-16,Omri Casspi,placed on IL with sore right knee,9.0,2018,post
6702,2018-11-07,Kings,2018-11-09,Skal Labissiere,placed on IL,2.0,2018,post
6703,2018-11-07,Pacers,2018-11-26,Edmond Sumner,placed on IL,19.0,2018,post
6704,2018-11-07,Pelicans,2018-11-10,Jahlil Okafor,placed on IL,3.0,2018,post
6705,2018-11-07,Pistons,2018-11-09,Bruce Brown,placed on IL,2.0,2018,post
6706,2018-11-07,Raptors,2018-11-10,C.J. Miles,placed on IL with right hip injury,3.0,2018,post
6707,2018-11-07,Spurs,2018-12-28,Pau Gasol,placed on IL with stress fracture in right foot,51.0,2018,post
6708,2018-11-08,Warriors,2018-11-12,Draymond Green,placed on IL with toe injury,4.0,2018,post
6709,2018-11-08,Warriors,2018-11-10,Jacob Evans,placed on IL,2.0,2018,post
6710,2018-11-09,Timberwolves,2018-11-12,Andrew Wiggins,placed on IL with bruised right quadriceps,3.0,2018,post
6711,2018-11-10,76ers,2018-11-14,Robert Covington,placed on IL,4.0,2018,post
6712,2018-11-10,Kings,2018-11-12,Skal Labissiere,placed on IL,2.0,2018,post
6714,2018-11-10,Pelicans,2018-11-14,Nikola Mirotic,placed on IL with sprained right ankle,4.0,2018,post
6715,2018-11-10,Warriors,2018-12-01,Stephen Curry,placed on IL with strained left groin,21.0,2018,post
6716,2018-11-11,Blazers,2018-11-14,Gary Trent Jr.,placed on IL,3.0,2018,post
6717,2018-11-11,Celtics,2018-11-23,Robert Williams III,placed on IL,12.0,2018,post
6718,2018-11-11,Magic,2018-11-12,Aaron Gordon,placed on IL with sprained left ankle,1.0,2018,post
6719,2018-11-11,Rockets,2018-11-15,Gerald Green (b),placed on IL with sprained right ankle,4.0,2018,post
6720,2018-11-12,Grizzlies,2018-12-23,Dillon Brooks,placed on IL with sprained MCL in left knee,41.0,2018,post
6721,2018-11-12,Kings,2018-12-01,Kosta Koufos,placed on IL with right calf injury,19.0,2018,post
6722,2018-11-12,Mavericks,2018-11-14,Wesley Matthews / Wes Matthews Jr.,placed on IL with strained left hamstring,2.0,2018,post
6723,2018-11-12,76ers,2018-11-14,Jimmy Butler,placed on IL,2.0,2018,post
6724,2018-11-13,Cavaliers,2018-11-19,Kyle Korver,placed on IL with sore right foot,6.0,2018,post
6725,2018-11-13,Hornets,2018-11-26,Michael Kidd-Gilchrist,placed on IL with sprained right ankle,13.0,2018,post
6726,2018-11-13,Warriors,2018-11-15,Draymond Green,placed on IL for suspension,2.0,2018,post
6727,2018-11-14,76ers,2018-11-21,Shake Milton,placed on IL,7.0,2018,post
6728,2018-11-14,Bucks,2018-11-16,Sterling Brown,placed on IL,2.0,2018,post
6729,2018-11-14,Magic,2018-11-28,Melvin Frazier Jr.,placed on IL,14.0,2018,post
6730,2018-11-14,Nets,2019-02-08,Caris LeVert,placed on IL with right foot injury,86.0,2018,post
6731,2018-11-14,Raptors,2018-11-23,C.J. Miles,placed on IL with strained right adductor,9.0,2018,post
6732,2018-11-14,Timberwolves,2018-11-16,Derrick Rose,placed on IL with sore left knee,2.0,2018,post
6733,2018-11-15,Rockets,2019-01-22,Carmelo Anthony,player not with team,68.0,2018,post
6734,2018-11-16,76ers,2018-12-05,Jonah Bolden,placed on IL with right fibula injury,19.0,2018,post
6735,2018-11-16,Blazers,2018-11-23,Seth Curry,placed on IL with right knee injury,7.0,2018,post
6736,2018-11-16,Bucks,2018-11-26,Donte DiVincenzo,placed on IL with strained left quadriceps,10.0,2018,post
6738,2018-11-16,Grizzlies,2018-11-21,Chandler Parsons,placed on IL,5.0,2018,post
6739,2018-11-16,Pelicans,2018-11-17,Jahlil Okafor,placed on IL,1.0,2018,post
6741,2018-11-17,Hawks,2018-11-19,Taurean Prince,placed on IL with right Achilles injury,2.0,2018,post
6742,2018-11-17,Lakers,2018-12-21,Rajon Rondo,placed on IL with fractured right hand,34.0,2018,post
6743,2018-11-17,Mavericks,2018-11-24,Wesley Matthews / Wes Matthews Jr.,placed on IL with strained left hamstring,7.0,2018,post
6744,2018-11-17,Pelicans,2018-12-31,Elfrid Payton,placed on IL with fractured finger,44.0,2018,post
6745,2018-11-17,Raptors,2018-11-20,Kawhi Leonard,placed on IL,3.0,2018,post
6746,2018-11-17,Raptors,2018-11-23,Ogugua Anunoby / O.G. Anunoby,placed on IL with sprained right wrist,6.0,2018,post
6747,2018-11-17,Warriors,2018-12-10,Draymond Green,placed on IL with toe injury,23.0,2018,post
6748,2018-11-18,Grizzlies,2018-11-25,Yuta Watanabe,placed on IL,7.0,2018,post
6749,2018-11-18,Heat,2018-12-07,Goran Dragic,placed on IL with right knee injury,19.0,2018,post
6751,2018-11-19,Hawks,2018-12-23,Alex Poythress,placed on IL with left ankle injury,34.0,2018,post
6752,2018-11-19,Hawks,2018-11-21,Tyler Dorsey,placed on IL,2.0,2018,post
6753,2018-11-19,Pacers,2018-12-12,Victor Oladipo,placed on IL with sore right knee,23.0,2018,post
6754,2018-11-19,Spurs,2018-11-21,Davis Bertans,placed on IL with concussion,2.0,2018,post
6755,2018-11-19,Suns,2018-11-30,De'Anthony Melton,placed on IL,11.0,2018,post
6756,2018-11-20,Heat,2018-11-30,Tyler Johnson,placed on IL with strained right hamstring,10.0,2018,post
6757,2018-11-20,Nets,2018-12-01,Dzanan Musa,placed on IL,11.0,2018,post
6758,2018-11-20,Wizards,season,Dwight Howard,placed on IL with glute injury (out for season),100.0,2018,post
6759,2018-11-21,Blazers,2018-12-02,Gary Trent Jr.,placed on IL,11.0,2018,post
6760,2018-11-21,Bulls,2018-11-24,Chandler Hutchison,placed on IL with back spasms,3.0,2018,post
6761,2018-11-21,Hawks,2018-11-23,Omari Spellman,placed on IL with bruised right hip,2.0,2018,post
6762,2018-11-21,Raptors,2018-11-23,Kawhi Leonard,placed on IL,2.0,2018,post
6763,2018-11-23,Celtics,2018-11-24,Al Horford,placed on IL with sore left knee,1.0,2018,post
6764,2018-11-23,Hawks,2018-11-30,Tyler Dorsey,placed on IL with sprained left ankle,7.0,2018,post
6765,2018-11-23,Hornets,2018-11-25,(William) Tony Parker,placed on IL with rib injury,2.0,2018,post
6766,2018-11-23,Nets,2018-11-28,Rodions Kurucs,placed on IL,5.0,2018,post
6767,2018-11-23,Pacers,2018-11-26,Myles Turner,placed on IL with sore left ankle,3.0,2018,post
6768,2018-11-23,Raptors,2018-12-14,Chris Boucher,placed on IL,21.0,2018,post
6769,2018-11-23,Thunder,2018-11-30,Hamidou Diallo,placed on IL with sprained left ankle,7.0,2018,post
6770,2018-11-23,Thunder,2018-12-03,Terrance Ferguson,placed on IL with sprained left ankle,10.0,2018,post
6771,2018-11-23,Wizards,2018-12-16,Jordan McRae,placed on IL,23.0,2018,post
6772,2018-11-24,Celtics,2018-11-26,Gordon Hayward,placed on IL with sore left ankle,2.0,2018,post
6773,2018-11-24,Kings,2018-11-25,Skal Labissiere,placed on IL,1.0,2018,post
6774,2018-11-24,Mavericks,2018-11-28,Dennis Smith Jr.,placed on IL,4.0,2018,post
6775,2018-11-25,Grizzlies,2018-11-27,Chandler Parsons,placed on IL,2.0,2018,post
6776,2018-11-25,Jazz,2018-11-28,Donovan Mitchell,placed on IL with rib injury,3.0,2018,post
6777,2018-11-25,Kings,2018-11-29,Iman Shumpert,placed on IL,4.0,2018,post
6778,2018-11-26,Bucks,2018-11-28,Ersan Ilyasova,placed on IL with sore right knee,2.0,2018,post
6779,2018-11-26,Cavaliers,2018-11-28,David Nwaba,placed on IL with sore right knee,2.0,2018,post
6780,2018-11-26,Celtics,2018-12-06,Jaylen Brown,placed on IL with bruised lower back,10.0,2018,post
6781,2018-11-26,Hornets,2018-12-02,Bismack Biyombo,placed on IL,6.0,2018,post
6782,2018-11-27,Grizzlies,2018-12-05,Yuta Watanabe,placed on IL,8.0,2018,post
6783,2018-11-28,76ers,2018-11-30,Shake Milton,placed on IL,2.0,2018,post
6784,2018-11-28,Bucks,2018-12-01,Matthew Dellavedova,placed on IL,3.0,2018,post
6785,2018-11-28,Cavaliers,2018-11-30,Kyle Korver,placed on IL,2.0,2018,post
6786,2018-11-28,Magic,2018-11-30,Aaron Gordon,placed on IL with tightness in lower back,2.0,2018,post
6787,2018-11-28,Nets,2018-11-30,Treveon Graham,placed on IL,2.0,2018,post
6788,2018-11-28,Pelicans,2018-12-02,Frank Jackson,placed on IL with sprained right ankle,4.0,2018,post
6789,2018-11-29,Kings,2018-12-17,Skal Labissiere,placed on IL,18.0,2018,post
6790,2018-11-30,Bucks,season,Ersan Ilyasova,concussion (DTD),100.0,2018,post
6791,2018-11-30,Cavaliers,2018-12-12,David Nwaba,placed on IL with sore right knee,12.0,2018,post
6792,2018-11-30,Cavaliers,2018-12-10,Sam Dekker,placed on IL with sprained left ankle,10.0,2018,post
6793,2018-11-30,Celtics,2018-12-01,Al Horford,placed on IL,1.0,2018,post
6794,2018-11-30,Magic,2018-12-10,Melvin Frazier Jr.,placed on IL,10.0,2018,post
6795,2018-11-30,Nets,2018-12-03,Joe Harris,placed on IL with adductor injury,3.0,2018,post
6796,2018-11-30,Suns,2018-12-10,T.J. Warren,placed on IL with sore right ankle,10.0,2018,post
6797,2018-12-01,Bucks,2018-12-07,Ersan Ilyasova,placed on IL with concussion,6.0,2018,post
6798,2018-12-01,Kings,2018-12-07,Marvin Bagley III,placed on IL with back spasms,6.0,2018,post
6799,2018-12-01,Nets,2018-12-16,Treveon Graham,placed on IL,15.0,2018,post
6800,2018-12-02,76ers,2018-12-05,Wilson Chandler,placed on IL with bruised left quadricep,3.0,2018,post
6801,2018-12-02,Grizzlies,2018-12-08,Chandler Parsons,placed on IL,6.0,2018,post
6802,2018-12-02,Hornets,2018-12-05,Cody Zeller,placed on IL with sore ribs,3.0,2018,post
6803,2018-12-02,Mavericks,2018-12-04,Luka Doncic,placed on IL with strained right hip,2.0,2018,post
6804,2018-12-02,Mavericks,2018-12-04,Maximilian Kleber / Maxi Kleber,placed on IL with sore right knee,2.0,2018,post
6805,2018-12-03,Hawks,2018-12-05,Tyler Dorsey,placed on IL,2.0,2018,post
6806,2018-12-03,Knicks,2018-12-16,Trey Burke,placed on IL with sprained right knee,13.0,2018,post
6807,2018-12-03,Warriors,2019-05-14,Damian Jones,placed on IL with torn pectoral muscle,162.0,2018,post
6808,2018-12-04,Blazers,2018-12-06,Gary Trent Jr.,placed on IL,2.0,2018,post
6809,2018-12-04,Suns,2018-12-15,Devin Booker,placed on IL with strained left hamstring,11.0,2018,post
6810,2018-12-05,76ers,2018-12-10,Shake Milton,placed on IL,5.0,2018,post
6811,2018-12-05,Cavaliers,2018-12-07,Ante Zizic,placed on IL with left knee injury,2.0,2018,post
6812,2018-12-05,Hawks,2019-01-13,Taurean Prince,placed on IL with left ankle injury,39.0,2018,post
6813,2018-12-05,Hornets,2018-12-07,Marvin Williams,placed on IL with strained right shoulder,2.0,2018,post
6814,2018-12-05,Mavericks,2018-12-13,Dennis Smith Jr.,placed on IL with sprained right wrist,8.0,2018,post
6815,2018-12-05,Mavericks,2018-12-08,Salah Mejri,placed on IL with sore left knee,3.0,2018,post
6816,2018-12-05,Nets,2018-12-14,Dzanan Musa,placed on IL,9.0,2018,post
6817,2018-12-05,Nuggets,2019-01-01,Gary Harris,placed on IL with right hip injury,27.0,2018,post
6818,2018-12-05,Pelicans,2018-12-12,Frank Jackson,placed on IL,7.0,2018,post
6819,2018-12-05,Pistons,2018-12-15,Reggie Bullock,placed on IL with sprained left ankle,10.0,2018,post
6821,2018-12-06,Blazers,2018-12-08,C.J. McCollum,placed on IL with sprained left ankle,2.0,2018,post
6822,2018-12-06,Celtics,2018-12-10,Robert Williams III,placed on IL,4.0,2018,post
6823,2018-12-06,Rockets,2018-12-11,Isaiah Hartenstein,placed on IL,5.0,2018,post
6824,2018-12-07,76ers,2018-12-10,Joel Embiid,placed on IL,3.0,2018,post
6825,2018-12-07,Grizzlies,2018-12-12,Ivan Rabb,placed on IL,5.0,2018,post
6826,2018-12-07,Grizzlies,2018-12-14,Yuta Watanabe,placed on IL,7.0,2018,post
6827,2018-12-07,Hornets,2018-12-09,Bismack Biyombo,placed on IL,2.0,2018,post
6828,2018-12-07,Lakers,2018-12-21,Brandon Ingram,placed on IL with sprained left ankle,14.0,2018,post
6830,2018-12-07,Pistons,2019-01-14,Ishmael Smith / Ish Smith,placed on IL with right adductor injury,38.0,2018,post
6831,2018-12-07,Bucks,2018-12-10,Matthew Dellavedova,placed on IL,3.0,2018,post
6832,2018-12-07,Cavaliers,2018-12-10,George Hill,placed on IL with returned to lineup,3.0,2018,post
6833,2018-12-08,Blazers,2018-12-12,Gary Trent Jr.,placed on IL,4.0,2018,post
6834,2018-12-08,Celtics,2018-12-10,Aron Baynes,placed on IL with sprained left ankle,2.0,2018,post
6835,2018-12-08,Hawks,2018-12-29,Miles Plumlee,placed on IL with left knee injury,21.0,2018,post
6836,2018-12-08,Hawks,2018-12-26,Omari Spellman,placed on IL with right hip injury,18.0,2018,post
6837,2018-12-08,Kings,2018-12-10,Iman Shumpert,placed on IL,2.0,2018,post
6838,2018-12-08,Mavericks,2018-12-10,Maximilian Kleber / Maxi Kleber,placed on IL with left big toe injury,2.0,2018,post
6839,2018-12-08,Nuggets,2018-12-29,Paul Millsap,placed on IL with right big toe injury,21.0,2018,post
6840,2018-12-08,Timberwolves,2018-12-10,Robert Covington,placed on IL with sore right knee,2.0,2018,post
6841,2018-12-09,Bucks,2018-12-10,D.J. Wilson,placed on IL,1.0,2018,post
6842,2018-12-09,Pistons,2018-12-12,Stanley Johnson,placed on IL with bruised left knee,3.0,2018,post
6843,2018-12-10,76ers,2018-12-14,Jonah Bolden,placed on IL,4.0,2018,post
6844,2018-12-10,Celtics,2018-12-23,Al Horford,placed on IL with sore left knee,13.0,2018,post
6846,2018-12-10,Celtics,2018-12-21,Guerschon Yabusele,placed on IL with sprained right ankle,11.0,2018,post
6847,2018-12-10,Celtics,2018-12-12,Kyrie Irving,placed on IL with sore right shoulder,2.0,2018,post
6848,2018-12-10,Grizzlies,2018-12-12,Chandler Parsons,placed on IL,2.0,2018,post
6849,2018-12-10,Pelicans,2018-12-16,E'Twaun Moore,placed on IL with lower leg injury,6.0,2018,post
6850,2018-12-11,Raptors,2018-12-14,Kawhi Leonard,placed on IL with right hip injury,3.0,2018,post
6851,2018-12-12,76ers,2018-12-16,Jimmy Butler,placed on IL with strained groin,4.0,2018,post
6852,2018-12-12,Blazers,2018-12-14,Maurice Harkless / Moe Harkless,placed on IL,2.0,2018,post
6853,2018-12-12,Bucks,2018-12-17,D.J. Wilson,placed on IL,5.0,2018,post
6854,2018-12-12,Cavaliers,2019-01-02,Tristan Thompson,placed on IL with sprained left foot (DTD),21.0,2018,post
6855,2018-12-12,Hornets,2018-12-14,Devonte' Graham,placed on IL,2.0,2018,post
6856,2018-12-12,Jazz,2018-12-15,Raulzinho Neto / Raul Neto,placed on IL with right thigh injury,3.0,2018,post
6857,2018-12-12,Knicks,2018-12-25,Allonzo Trier,placed on IL with strained left hamstring,13.0,2018,post
6858,2018-12-12,Knicks,2018-12-14,Courtney Lee,placed on IL,2.0,2018,post
6859,2018-12-12,Pacers,2019-01-08,Edmond Sumner,placed on IL,27.0,2018,post
6860,2018-12-12,Pelicans,2019-01-09,Nikola Mirotic,placed on IL with right ankle injury,28.0,2018,post
6861,2018-12-12,Pistons,2019-01-19,Henry Ellenson,placed on IL with sprained left ankle,38.0,2018,post
6862,2018-12-12,Rockets,2019-01-03,James Ennis,placed on IL with strained right hamstring,22.0,2018,post
6863,2018-12-12,Warriors,2018-12-17,Andre Iguodala,placed on IL with right hip injury,5.0,2018,post
6864,2018-12-12,Wizards,2019-01-02,Otto Porter Jr.,placed on IL with bruised right knee / right quadriceps injury,21.0,2018,post
6866,2018-12-13,Clippers,2018-12-20,Louis Williams / Lou Williams,placed on IL with left hamstring injury,7.0,2018,post
6867,2018-12-13,Magic,2019-01-12,Melvin Frazier Jr.,placed on IL,30.0,2018,post
6868,2018-12-13,Mavericks,2018-12-18,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle,5.0,2018,post
6869,2018-12-13,Rockets,2018-12-15,Isaiah Hartenstein,placed on IL,2.0,2018,post
6870,2018-12-14,Blazers,2019-01-01,Gary Trent Jr.,placed on IL,18.0,2018,post
6871,2018-12-14,Bucks,2018-12-19,Malcolm Brogdon,placed on IL with left hamstring injury,5.0,2018,post
6872,2018-12-14,Grizzlies,2018-12-19,Chandler Parsons,placed on IL,5.0,2018,post
6873,2018-12-14,Heat,2019-02-23,Goran Dragic,placed on IL with sore right knee,71.0,2018,post
6874,2018-12-14,Hornets,2018-12-29,Bismack Biyombo,placed on IL,15.0,2018,post
6875,2018-12-14,Nets,2019-02-06,Allen Crabbe,placed on IL with sore right knee,54.0,2018,post
6876,2018-12-14,Raptors,2019-02-09,Jonas Valanciunas,placed on IL with left thumb injury,57.0,2018,post
6877,2018-12-14,Warriors,2018-12-17,Shaun Livingston,placed on IL with bruised pelvis,3.0,2018,post
6878,2018-12-15,Bulls,2018-12-26,Zach LaVine,placed on IL with left ankle injury,11.0,2018,post
6879,2018-12-15,Grizzlies,2018-12-17,Kyle Anderson,placed on IL with sprained left ankle,2.0,2018,post
6881,2018-12-15,Suns,2018-12-18,Trevor Ariza,placed on IL,3.0,2018,post
6882,2018-12-16,Kings,2019-01-07,Marvin Bagley III,placed on IL with left knee injury,22.0,2018,post
6883,2018-12-16,Knicks,2019-01-17,Mitchell Robinson,"placed on IL with left ankle, groin injury",32.0,2018,post
6884,2018-12-16,Mavericks,2018-12-28,Dennis Smith Jr.,placed on IL with sprained right wrist,12.0,2018,post
6885,2018-12-16,Nets,2019-01-31,Dzanan Musa,placed on IL with left shoulder subluxation,46.0,2018,post
6886,2018-12-16,Pacers,2018-12-18,Tyreke Evans,placed on IL with bruised right knee,2.0,2018,post
6887,2018-12-16,Raptors,2018-12-19,Fred VanVleet,placed on IL with sore lower back,3.0,2018,post
6888,2018-12-16,Raptors,2018-12-22,Kyle Lowry,placed on IL with left thigh injury,6.0,2018,post
6889,2018-12-16,Wizards,2018-12-25,Austin Rivers,placed on IL,9.0,2018,post
6890,2018-12-16,Wizards,2018-12-19,Kelly Oubre Jr.,placed on IL,3.0,2018,post
6891,2018-12-17,Bucks,2019-01-04,Ersan Ilyasova,placed on IL with fractured nose,18.0,2018,post
6893,2018-12-17,Grizzlies,2018-12-19,Mike Conley Jr.,placed on IL with left hamstring injury,2.0,2018,post
6894,2018-12-17,Rockets,2018-12-19,Isaiah Hartenstein,placed on IL,2.0,2018,post
6895,2018-12-18,Mavericks,2018-12-20,Maximilian Kleber / Maxi Kleber,placed on IL with toe injury,2.0,2018,post
6896,2018-12-18,Pacers,2019-01-08,Alize Johnson,placed on IL,21.0,2018,post
6897,2018-12-19,76ers,2018-12-22,Jonah Bolden,placed on IL,3.0,2018,post
6898,2018-12-19,Celtics,2018-12-23,Marcus Morris,placed on IR with sore right knee,4.0,2018,post
6899,2018-12-19,Grizzlies,2018-12-26,Joakim Noah,placed on IL with right heel injury,7.0,2018,post
6900,2018-12-19,Grizzlies,2018-12-21,Yuta Watanabe,placed on IL,2.0,2018,post
6901,2018-12-19,Kings,2018-12-23,Harry Giles,placed on IL,4.0,2018,post
6902,2018-12-19,Pelicans,2018-12-21,Julius Randle,placed on IL with sprained right ankle,2.0,2018,post
6903,2018-12-19,Timberwolves,2019-01-04,Jeff Teague,placed on IL with left ankle injury,16.0,2018,post
6904,2018-12-20,Rockets,2018-12-25,Isaiah Hartenstein,placed on IL,5.0,2018,post
6905,2018-12-21,Celtics,2019-01-16,Aron Baynes,placed on IL with fractured left hand,26.0,2018,post
6906,2018-12-21,Grizzlies,2019-02-22,Chandler Parsons,placed on IL,63.0,2018,post
6907,2018-12-21,Magic,2018-12-23,Jonathon Simmons,placed on IL with sprained right ankle,2.0,2018,post
6908,2018-12-22,76ers,2018-12-25,Wilson Chandler,placed on IL with bruised left quadricep,3.0,2018,post
6909,2018-12-22,Raptors,2018-12-26,Kawhi Leonard,placed on IL,4.0,2018,post
6910,2018-12-22,Rockets,2019-01-27,Chris Paul,placed on IL with strained left hamstring,36.0,2018,post
6911,2018-12-22,Warriors,2018-12-27,Jacob Evans,placed on IL with left foot injury,5.0,2018,post
6912,2018-12-23,Cavaliers,2018-12-26,Rodney Hood,placed on IL with left Achilles injury,3.0,2018,post
6914,2018-12-23,Hawks,2018-12-26,John Collins (Martin),placed on IL with sprained left ankle,3.0,2018,post
6916,2018-12-23,Pacers,2018-12-26,Tyreke Evans,placed on IL with bruised right knee,3.0,2018,post
6917,2018-12-23,Timberwolves,2018-12-26,Derrick Rose,placed on IL with sore left ankle,3.0,2018,post
6918,2018-12-26,Cavaliers,2019-02-02,David Nwaba,placed on IL with sprained left ankle,38.0,2018,post
6919,2018-12-26,Grizzlies,2019-01-07,Yuta Watanabe,placed on IL,12.0,2018,post
6920,2018-12-26,Hawks,2019-01-15,Jaylen Adams,placed on IL,20.0,2018,post
6921,2018-12-26,Nets,2018-12-28,Treveon Graham,placed on IL,2.0,2018,post
6922,2018-12-26,Raptors,2018-12-28,Chris Boucher,placed on IL,2.0,2018,post
6923,2018-12-26,Raptors,2019-01-03,Kyle Lowry,placed on IL with sore lower back,8.0,2018,post
6924,2018-12-26,Wizards,2018-12-28,Jordan McRae,placed on IL,2.0,2018,post
6925,2018-12-27,76ers,season,76ers,placed on IL,100.0,2018,post
6926,2018-12-27,Celtics,2019-01-07,Robert Williams III,placed on IL with strained left groin,11.0,2018,post
6928,2018-12-27,Lakers,2019-01-31,LeBron James,placed on IL with strained left groin,35.0,2018,post
6929,2018-12-27,Lakers,2019-01-24,Rajon Rondo,placed on IL with right finger injury,28.0,2018,post
6930,2018-12-27,Rockets,2019-01-14,Isaiah Hartenstein,placed on IL,18.0,2018,post
6931,2018-12-28,Mavericks,2018-12-31,Wesley Matthews / Wes Matthews Jr.,placed on IL with sore right foot,3.0,2018,post
6933,2018-12-28,Wizards,season,John Wall (a),placed on IL with sore left heel (out for season),100.0,2018,post
6934,2018-12-28,Wizards,2018-12-29,Markieff Morris,placed on IL with stiff neck,1.0,2018,post
6935,2018-12-29,Grizzlies,2019-01-02,Ivan Rabb,placed on IL,4.0,2018,post
6936,2018-12-29,Hawks,2019-01-02,Dewayne Dedmon,placed on IL with sore left knee,4.0,2018,post
6937,2018-12-29,Hawks,2019-01-06,Omari Spellman,placed on IL,8.0,2018,post
