,Season,Pos,Age,G,GS,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,Major Injury,Minor Injury Count,Previous Major Injury Count
18297,0,6,26,4,0,26.5,0.1320754716981132,0.214,0.2075471698113207,0.545,0.030188679245283,0.667,0.0113207547169811,0.0566037735849056,0.0679245283018867,0.0,0.0113207547169811,0.0754716981132075,0.1433962264150943,0,0.0,0.0
18298,0,6,27,8,8,30.4,0.1348684210526315,0.303,0.2598684210526316,0.492,0.1151315789473684,0.821,0.0,0.0361842105263157,0.1644736842105263,0.0460526315789473,0.0,0.0493421052631578,0.0427631578947368,0,0.0,0.0
18299,0,13,22,2,1,19.5,0.0512820512820512,1.0,0.0769230769230769,0.667,0.0,0.0,0.0,0.0769230769230769,0.0256410256410256,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0256410256410256,0,0.0,0.0
18300,0,13,34,14,0,27.1,0.1955719557195571,0.243,0.2952029520295203,0.438,0.077490774907749,0.867,0.014760147601476,0.062730627306273,0.070110701107011,0.033210332103321,0.007380073800738,0.044280442804428,0.088560885608856,0,0.0,0.0
18301,0,9,24,4,1,25.0,0.1,0.3,0.192,0.632,0.132,0.769,0.08,0.12,0.08,0.04,0.032,0.052,0.14,0,0.0,0.0
18302,0,3,27,4,0,18.8,0.0,0.0,0.1489361702127659,0.818,0.0425531914893617,1.0,0.0531914893617021,0.1861702127659574,0.026595744680851,0.0425531914893617,0.0531914893617021,0.0,0.0957446808510638,0,0.0,0.0
18303,0,6,26,21,21,39.3,0.2798982188295165,0.422,0.2519083969465649,0.493,0.1399491094147582,0.835,0.0254452926208651,0.1017811704834605,0.1628498727735369,0.0483460559796437,0.0025445292620865,0.099236641221374,0.0559796437659033,0,0.0,1.0
18304,0,9,27,3,0,4.7,0.1489361702127659,0.0,0.2765957446808511,0.5,0.0,0.0,0.0,0.0638297872340425,0.0638297872340425,0.0,0.0,0.0,0.2765957446808511,0,0.0,0.0
18305,0,3,21,4,4,43.0,0.0116279069767441,0.0,0.4953488372093023,0.553,0.2093023255813953,0.889,0.0534883720930232,0.2046511627906977,0.0465116279069767,0.0302325581395348,0.0697674418604651,0.0767441860465116,0.0697674418604651,0,0.0,0.0
18306,0,3,29,14,0,10.3,0.0097087378640776,0.0,0.2524271844660194,0.459,0.058252427184466,0.778,0.058252427184466,0.1262135922330097,0.0194174757281553,0.0388349514563106,0.0388349514563106,0.058252427184466,0.233009708737864,0,0.0,2.0
18307,0,13,24,20,7,24.9,0.1526104417670682,0.316,0.1204819277108433,0.383,0.0642570281124498,0.781,0.0200803212851405,0.0642570281124498,0.108433734939759,0.0200803212851405,0.0,0.072289156626506,0.1044176706827309,0,0.0,0.0
18308,0,13,25,4,4,39.8,0.050251256281407,0.375,0.4522613065326633,0.403,0.1080402010050251,0.824,0.0326633165829145,0.1256281407035176,0.1457286432160804,0.0376884422110552,0.0,0.0628140703517588,0.0753768844221105,0,0.0,1.0
18309,0,3,32,7,0,28.3,0.0918727915194346,0.222,0.2685512367491166,0.566,0.0671378091872791,0.692,0.0671378091872791,0.1519434628975265,0.127208480565371,0.0247349823321554,0.0141342756183745,0.0459363957597173,0.1201413427561837,0,0.0,1.0
18310,0,3,31,6,0,2.2,0.0,0.0,0.1363636363636363,0.0,0.1363636363636363,0.5,0.0909090909090909,0.2272727272727272,0.1363636363636363,0.0,0.0,0.0909090909090909,0.1363636363636363,0,0.0,0.0
18311,0,13,29,6,0,18.3,0.1256830601092896,0.571,0.1475409836065573,0.375,0.0655737704918032,0.571,0.0273224043715847,0.0710382513661202,0.0710382513661202,0.1092896174863388,0.0163934426229508,0.0437158469945355,0.1092896174863388,0,0.0,0.0
18312,0,0,38,7,7,35.7,0.0028011204481792,0.0,0.3557422969187674,0.596,0.1372549019607843,0.559,0.0756302521008403,0.2352941176470588,0.0924369747899159,0.0364145658263305,0.0392156862745097,0.0280112044817927,0.103641456582633,0,0.0,2.0
18313,0,9,34,12,12,32.4,0.1450617283950617,0.482,0.0833333333333333,0.5,0.0493827160493827,0.947,0.0185185185185185,0.1049382716049382,0.0802469135802469,0.0246913580246913,0.0123456790123456,0.0401234567901234,0.0802469135802469,0,0.0,0.0
18314,0,13,29,5,5,39.4,0.1522842639593908,0.367,0.4111675126903553,0.506,0.1015228426395939,0.75,0.0203045685279187,0.0609137055837563,0.1319796954314721,0.0507614213197969,0.015228426395939,0.0812182741116751,0.0913705583756345,0,0.0,1.0
18315,0,6,20,1,0,16.0,0.3125,0.2,0.25,0.25,0.0,0.0,0.1875,0.0625,0.1875,0.0,0.0,0.0,0.0625,0,0.0,0.0
18316,0,13,25,4,4,31.3,0.0894568690095846,0.182,0.255591054313099,0.375,0.1373801916932907,0.588,0.0255591054313099,0.1373801916932907,0.1597444089456869,0.0415335463258785,0.0095846645367412,0.047923322683706,0.0798722044728434,0,0.0,1.0
18317,0,0,25,20,0,9.2,0.0,0.0,0.2717391304347826,0.54,0.1630434782608695,0.552,0.1304347826086956,0.2065217391304347,0.0326086956521739,0.0108695652173913,0.0543478260869565,0.0652173913043478,0.1413043478260869,0,0.0,0.0
18318,0,6,30,3,1,12.0,0.1083333333333333,0.0,0.3083333333333333,0.364,0.0833333333333333,1.0,0.0249999999999999,0.1666666666666666,0.1083333333333333,0.0,0.0,0.0,0.0249999999999999,0,0.0,0.0
18319,0,6,24,2,0,1.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0,0.0,0.0
18320,0,0,27,2,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0,0.0,2.0
18321,0,0,30,11,11,37.8,0.0052910052910052,0.0,0.4285714285714286,0.399,0.2116402116402116,0.852,0.0449735449735449,0.2248677248677248,0.119047619047619,0.0238095238095238,0.0449735449735449,0.0396825396825396,0.0793650793650793,0,0.0,1.0
18322,0,3,34,10,10,31.7,0.0126182965299684,0.0,0.3501577287066246,0.505,0.1324921135646687,0.762,0.0536277602523659,0.2429022082018927,0.0977917981072555,0.0157728706624605,0.0662460567823343,0.0662460567823343,0.056782334384858,0,1.0,1.0
18323,0,9,27,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0
18324,0,3,29,12,2,23.0,0.0,0.0,0.2608695652173913,0.472,0.108695652173913,0.7,0.0913043478260869,0.1478260869565217,0.0434782608695652,0.0130434782608695,0.0434782608695652,0.0391304347826087,0.0913043478260869,0,0.0,0.0
