,Date,Team,Acquired,Relinquished,Notes
1649,2020-12-23,Rockets,,Kenyon Martin Jr. / K.J. Martin,placed on IL with NBA health and safety protocols
1650,2020-12-23,Timberwolves,,Jordan McLaughlin,placed on IL
1651,2020-12-25,Blazers,Anfernee Simons,,activated from IL
1652,2020-12-25,Bucks,,Mamadi Diakite,placed on IL with NBA health and safety protocols (DTD)
1653,2020-12-25,Bucks,D.J. Augustine,,activated from IL
1654,2020-12-25,Celtics,,Robert Williams III,placed on IL with illness
1655,2020-12-26,Cavaliers,,Dylan Windler,placed on IL with fractured left hand
1656,2020-12-26,Cavaliers,Dante Exum,,activated from IL
1657,2020-12-26,Grizzlies,,De'Anthony Melton,placed on IL due to NBA health and safety protocols
1658,2020-12-26,Hawks,Rajon Rondo,,activated from IL
1659,2020-12-26,Heat,,Jimmy Butler,placed on IL with sprained right ankle
1660,2020-12-26,Hornets,,Cody Zeller,placed on IL with fractured left hand
1661,2020-12-26,Knicks,,Immanuel Quickley,placed on IL with left hip injury
1662,2020-12-26,Knicks,,Obi Toppin,placed on IL with strained right calf
1663,2020-12-26,Suns,Frank Kaminsky,,activated from IL
1664,2020-12-26,Thunder,,Trevor Ariza,placed on IL
1665,2020-12-26,Timberwolves,Jordan McLaughlin,,activated from IL
1666,2020-12-26,Warriors,,Marquese Chriss,placed on IL with fractured fibula in right leg
1667,2020-12-26,Cavaliers,Kevin Love,,activated from IL
1668,2020-12-26,Cavaliers,,Kevin Love,placed on IL with strained right calf
1669,2020-12-27,Bucks,,Jaylen Adams,placed on IL
1670,2020-12-27,Cavaliers,,Isaac Okoro,placed on IL with sprained left foot
1671,2020-12-27,Celtics,Robert Williams III,,activated from IL
1672,2020-12-27,Hawks,,Kris Dunn,placed on IL with loose cartilage in right ankle
1673,2020-12-27,Knicks,,Dennis Smith Jr.,placed on IL with bruised left quadricep
1674,2020-12-27,Lakers,,Anthony Davis,placed on IL with right calf injury
1675,2020-12-27,Lakers,Kostas Antetokounmpo,,activated from IL
1676,2020-12-27,Pacers,,Victor Oladipo,placed on IL with right knee injury
1677,2020-12-27,Pistons,,Blake Griffin,placed on IL with left knee injury
1678,2020-12-27,Timberwolves,,Karl-Anthony Towns,placed on IL with sprained left wrist
1679,2020-12-27,Timberwolves,,left wrist injury (DTD),placed on IL with left wrist injury (DTD)
1680,2020-12-28,76ers,,Furkan Korkmaz,placed on IL with strained left adductor
1681,2020-12-28,Blazers,,Carmelo Anthony,placed on IL
1682,2020-12-28,Hawks,Clint Capela,,activated from IL
1683,2020-12-28,Lakers,,Kostas Antetokounmpo,placed on IL with right knee tendinitis
1684,2020-12-28,Lakers,Anthony Davis,,activated from IL
1685,2020-12-28,Nets,,Kyrie Irving,placed on IL
1686,2020-12-28,Nets,,Spencer Dinwiddie,placed on IL with torn ACL in right knee (out for season)
1687,2020-12-29,Bucks,,Torrey Craig,placed on IL with fractured nose
1688,2020-12-29,Grizzlies,,Ja Morant,placed on IL with sprained left ankle
1689,2020-12-29,Heat,Gabe Vincent,,activated from IL
1690,2020-12-29,Pacers,Victor Oladipo,,activated from IL
1691,2020-12-29,Pistons,Blake Griffin,,activated from IL
1692,2020-12-29,Thunder,,George Hill,placed on IL with neck spasms
1693,2020-12-29,Timberwolves,,Josh Okogie,placed on IL with strained left hamstring
1694,2020-12-30,Blazers,,Gary Trent Jr.,placed on IL with strained right calf
1695,2020-12-30,Blazers,Carmelo Anthony,,activated from IL
1696,2020-12-30,Celtics,,Javonte Green,placed on IL with NBA health and safety protocols
1697,2020-12-30,Celtics,,Tristan Thompson,placed on IL with right hamstring injury
1698,2020-12-30,Celtics,Tacko Fall,,activated from IL
1699,2020-12-30,Kings,,DaQuan Jeffries,placed on IL with sprained left ankle
1700,2020-12-30,Knicks,,Frank Ntilikina,placed on IL with sprained right knee
1701,2020-12-30,Nets,Kyrie Irving,,activated from IL
1702,2020-12-30,Pacers,,T.J. Warren,placed on IL with stress fracture in left foot (out for season)
1703,2020-12-30,Rockets,,Mason Jones,placed on IL with sprained right ankle
1704,2020-12-30,Spurs,,LaMarcus Aldridge,placed on IL with sore left knee
1705,2020-12-30,Thunder,George Hill,,activated from IL
1706,2020-12-30,Wizards,Rui Hachimura,,activated from IL
1707,2020-12-31,Bulls,,Chandler Hutchison,placed on IL with NBA health and safety protocols
1708,2020-12-31,Bulls,,Lauri Markkanen,placed on IL with NBA health and safety protocols
1709,2020-12-31,Bulls,,Ryan Arcidiacono,placed on IL with NBA health and safety protocols
1710,2020-12-31,Bulls,,Tomas Satoransky,placed on IL with NBA health and safety protocols
1711,2020-12-31,Bulls,Devon Dotson,,activated from IL
1712,2020-12-31,Celtics,Tristan Thompson,,activated from IL
1713,2020-12-31,Hawks,,Rajon Rondo,placed on IL with sore left knee
1714,2020-12-31,Knicks,Austin Rivers,,activated from IL
1715,2020-12-31,Magic,,Terrence Ross,placed on IL with right hamstring injury
1716,2020-12-31,Pistons,,Blake Griffin,placed on IL with concussion
1717,2020-12-31,Spurs,Derrick White,,activated from IL
1718,2020-12-31,Suns,,Jalen Smith,placed on IL with sprained left ankle
1719,2021-01-01,Heat,,Gabe Vincent,placed on IL with sore right knee
1720,2021-01-01,Heat,Jimmy Butler,,activated from IL
1721,2021-01-01,Kings,,Tyrese Haliburton,placed on IL with left wrist injury
1722,2021-01-01,Magic,,Chuma Okeke,placed on IL with left knee injury
1723,2021-01-01,Nuggets,,Michael Porter Jr.,placed on IL with NBA health and safety protocols
1724,2021-01-01,Nuggets,JaMychal Green,,activated from IL
1725,2021-01-01,Spurs,,Keita Bates-Diop,placed on IL
1726,2021-01-01,Warriors,Draymond Green,,activated from IL
1727,2021-01-02,76ers,,(James) Mike Scott,placed on IL with bruised left knee
1728,2021-01-02,Blazers,,Rodney Hood,placed on IL with strained left quadriceps
1729,2021-01-02,Blazers,Gary Trent Jr.,,activated from IL
1730,2021-01-02,Hawks,,Danilo Gallinari,placed on IL with sprained right ankle
1731,2021-01-02,Knicks,,Alec Burks,placed on IL with sprained left ankle
1732,2021-01-02,Knicks,Immanuel Quickley,,activated from IL
1733,2021-01-02,Magic,,Evan Fournier,placed on IL with back spasms
1734,2021-01-02,Magic,Terrence Ross,,activated from IL
1735,2021-01-02,Pelicans,,Sindarius Thornwell,placed on IL with NBA health and safety protocols
1736,2021-01-02,Spurs,,Derrick White,placed on IL with fractured toe
1737,2021-01-03,Bucks,,Sam Merrill,placed on IL with sprained left ankle
1738,2021-01-03,Lakers,,Kentavious Caldwell-Pope,placed on IL with sprained left ankle
1739,2021-01-03,Pistons,Blake Griffin,,activated from IL
1740,2021-01-03,Rockets,Kenyon Martin Jr. / K.J. Martin,,activated from IL
1741,2021-01-03,Thunder,,Aleksej Pokusevski,placed on IL with concussion
1742,2021-01-04,Bucks,,Pat Connaughton,placed on IL with strained left groin
1743,2021-01-04,Bucks,Jaylen Adams,,activated from IL
1744,2021-01-04,Celtics,,Jeff Teague,placed on IL with sprained left ankle
1745,2021-01-04,Celtics,,Marcus Smart,placed on IL with sprained right thumb
1746,2021-01-04,Hawks,Rajon Rondo,,activated from IL
1747,2021-01-04,Heat,Gabe Vincent,,activated from IL
1748,2021-01-04,Nets,,Kevin Durant,placed on IL with NBA health and safety protocols
1749,2021-01-04,Pistons,,Blake Griffin,placed on IL
1750,2021-01-04,Pistons,,Josh Jackson,placed on IL with sprained right ankle
1751,2021-01-04,Rockets,,Danuel House,placed on IL with back injury
1752,2021-01-05,Cavaliers,,Dante Exum,placed on IL with strained right calf (out for season)
1753,2021-01-05,Cavaliers,Isaac Okoro,,activated from IL
1754,2021-01-05,Hawks,,Rajon Rondo,placed on IL with sore left knee
1755,2021-01-05,Jazz,,Juwan Morgan,placed on IL with NBA health and safety protocols
1756,2021-01-05,Jazz,Trent Forrest,,activated from IL
1757,2021-01-05,Magic,,Michael Carter-Williams,placed on IL with sore left foot
1758,2021-01-05,Magic,James Ennis,,activated from IL
1759,2021-01-05,Pacers,,Jalen Lecque,placed on IL with sprained left ankle
1760,2021-01-05,Rockets,,Kenyon Martin Jr. / K.J. Martin,placed on IL with conditioning
1761,2021-01-05,Spurs,LaMarcus Aldridge,,activated from IL
1762,2021-01-06,Celtics,Marcus Smart,,activated from IL
1763,2021-01-06,Clippers,Marcus Morris,,activated from IL
1764,2021-01-06,Heat,,Maurice Harkless / Moe Harkless,placed on IL with left forearm injury
1765,2021-01-06,Kings,Tyrese Haliburton,,activated from IL
1766,2021-01-06,Knicks,,Nerlens Noel,placed on IL with sprained left ankle
1767,2021-01-06,Knicks,Dennis Smith Jr.,,activated from IL
1768,2021-01-06,Mavericks,,Trey Burke,placed on IL with illness
1769,2021-01-06,Pistons,,Killian Hayes,placed on IL with torn labrum in right hip
1770,2021-01-06,Pistons,Blake Griffin,,activated from IL
1771,2021-01-06,Suns,Jalen Smith,,activated from IL
1772,2021-01-07,76ers,,Seth Curry,placed on IL with sore left ankle
1773,2021-01-07,Blazers,Rodney Hood,,activated from IL
1774,2021-01-07,Nets,,Reggie Perry,placed on IL with left groin injury
1775,2021-01-07,Spurs,,Drew Eubanks,placed on IL with NBA health and safety protocols
1776,2021-01-07,Spurs,Keita Bates-Diop,,activated from IL
1777,2021-01-07,Suns,,Jalen Smith,placed on IL with NBA health and safety protocols
1778,2021-01-08,76ers,,Seth Curry,placed on IL with COVID-19
1779,2021-01-08,Bucks,,Jaylen Adams,placed on IL
1780,2021-01-08,Bucks,Sam Merrill,,activated from IL
1781,2021-01-08,Celtics,,Grant Williams,placed on IL with NBA health and safety protocols
1782,2021-01-08,Celtics,,Robert Williams III,placed on IL with COVID-19
1783,2021-01-08,Celtics,,Tristan Thompson,placed on IL with NBA health and safety protocols
1784,2021-01-08,Celtics,Javonte Green,,activated from IL
1785,2021-01-08,Celtics,Jeff Teague,,activated from IL
1786,2021-01-08,Jazz,,Joe Ingles,placed on IL with right Achilles injury
1787,2021-01-08,Knicks,Nerlens Noel,,activated from IL
1788,2021-01-08,Lakers,,Anthony Davis,placed on IL with strained right adductor
1789,2021-01-08,Magic,,Markelle Fultz,placed on IL with torn ACL in left knee (out for season)
1790,2021-01-08,Mavericks,,Dorian Finney-Smith,placed on IL with NBA health and safety protocols
1791,2021-01-08,Mavericks,,Jalen Brunson,placed on IL with NBA health and safety protocols
1792,2021-01-08,Mavericks,,Josh Richardson,placed on IL with NBA health and safety protocols
1793,2021-01-08,Nets,,Tyler Johnson,placed on IL with NBA health and safety protocols
1794,2021-01-08,Nets,Reggie Perry,,activated from IL
1795,2021-01-08,Pelicans,Sindarius Thornwell,,activated from IL
1796,2021-01-08,Pistons,Josh Jackson,,activated from IL
1797,2021-01-08,Rockets,,Brodric Thomas,placed on IL with sprained right ankle
1798,2021-01-08,Rockets,Kenyon Martin Jr. / K.J. Martin,,activated from IL
1799,2021-01-08,Rockets,Mason Jones,,activated from IL
1800,2021-01-08,Thunder,Aleksej Pokusevski,,activated from IL
1801,2021-01-09,76ers,,Ben Simmons,placed on IL with sore left knee
1802,2021-01-09,76ers,,Joel Embiid,placed on IL with back injury
1803,2021-01-09,76ers,,Tobias Harris,placed on IL with NBA health and safety protocols
1804,2021-01-09,76ers,(James) Mike Scott,,activated from IL
1805,2021-01-09,Bucks,,Giannis Antetokounmpo,placed on IL with back spasms
1806,2021-01-09,Bucks,Pat Connaughton,,activated from IL
1807,2021-01-09,Heat,,Gabe Vincent,placed on IL with sore right knee
1808,2021-01-09,Heat,Maurice Harkless / Moe Harkless,,activated from IL
1809,2021-01-09,Mavericks,Trey Burke,,activated from IL
1810,2021-01-09,Timberwolves,Karl-Anthony Towns,,activated from IL
1811,2021-01-10,Bulls,,Otto Porter Jr.,placed on IL with back injury
1812,2021-01-10,Hawks,,Bogdan Bogdanovic,placed on IL with sprained right knee
1813,2021-01-10,Jazz,Joe Ingles,,activated from IL
1814,2021-01-10,Lakers,,Jared Dudley,placed on IL with right calf injury
1815,2021-01-10,Lakers,Anthony Davis,,activated from IL
1816,2021-01-10,Lakers,Kentavious Caldwell-Pope,,activated from IL
1817,2021-01-10,Mavericks,,Maximilian Kleber / Maxi Kleber,placed on IL with NBA health and safety protocols
1818,2021-01-10,Nets,Kevin Durant,,activated from IL
1819,2021-01-10,Pistons,,Derrick Rose,placed on IL with sore left knee
1820,2021-01-10,Timberwolves,,Karl-Anthony Towns,placed on IL with left wrist injury
1821,2021-01-10,Timberwolves,Josh Okogie,,activated from IL
1822,2021-01-11,76ers,Joel Embiid,,activated from IL
1823,2021-01-11,Bucks,Giannis Antetokounmpo,,activated from IL
1824,2021-01-11,Cavaliers,,Darius Garland,placed on IL with strained right shoulder
1825,2021-01-11,Heat,,Goran Dragic,placed on IL with NBA health and safety protocols
1826,2021-01-11,Heat,,K.Z. Okpala,placed on IL with NBA health and safety protocols
1827,2021-01-11,Heat,,Kendrick Nunn,placed on IL with NBA health and safety protocols
1828,2021-01-11,Heat,,Maurice Harkless / Moe Harkless,placed on IL with NBA health and safety protocols
1829,2021-01-11,Kings,,Jahmi'us Ramsey,placed on IL
1830,2021-01-11,Knicks,,Reggie Bullock,placed on IL with right hip injury
1831,2021-01-11,Rockets,,Danuel House,placed on IL with NBA health and safety protocols
1832,2021-01-11,Wizards,,Russell Westbrook,placed on IL with left quadriceps injury
1833,2021-01-11,Wizards,,Thomas Bryant,placed on IL with torn ACL in left knee (out for season)
1834,2021-01-12,76ers,Ben Simmons,,activated from IL
1835,2021-01-12,Heat,Gabe Vincent,,activated from IL
1836,2021-01-12,Jazz,,Joe Ingles,placed on IL with sore right Achilles
1837,2021-01-12,Jazz,,Trent Forrest,placed on IL
1838,2021-01-12,Lakers,,Wesley Matthews / Wes Matthews Jr.,placed on IL with right Achilles injury (DTD)
1839,2021-01-12,Mavericks,,Dwight Powell,placed on IL with NBA health and safety protocols
1840,2021-01-12,Pelicans,,Lonzo Ball,placed on IL with knee injury
1841,2021-01-12,Spurs,,Keita Bates-Diop,placed on IL with upper respiratory infection
1842,2021-01-12,Warriors,,Eric Paschall,placed on IL with NBA health and safety protocols
1843,2021-01-12,Jazz,Jarrell Brantley,,activated from IL
1844,2021-01-13,Kings,Jahmi'us Ramsey,,activated from IL
1845,2021-01-13,Knicks,Obi Toppin,,activated from IL
1846,2021-01-13,Mavericks,Kristaps Porzingis,,activated from IL
1847,2021-01-13,Nets,,Caris LeVert,placed on IL
1848,2021-01-13,Nets,,Jarrett Allen,placed on IL
1849,2021-01-13,Nets,,Rodions Kurucs,placed on IL
1850,2021-01-13,Nets,,Taurean Prince,placed on IL
1851,2021-01-13,Nets,Tyler Johnson,,activated from IL
1852,2021-01-13,Pelicans,,Eric Bledsoe,placed on IL with right eye injury
1853,2021-01-13,Pelicans,,Zion Williamson,placed on IL with NBA health and safety protocols
1854,2021-01-13,Timberwolves,Karl-Anthony Towns,,activated from IL
1855,2021-01-13,Warriors,Eric Paschall,,activated from IL
1856,2021-01-14,76ers,,Matisse Thybulle,placed on IL with NBA health and safety protocols
1857,2021-01-14,76ers,,Shake Milton,placed on IL with NBA health and safety protocols
1858,2021-01-14,76ers,Matisse Thybulle,,activated from IL
1859,2021-01-14,76ers,Shake Milton,,activated from IL
1860,2021-01-14,76ers,Terrance Ferguson,,activated from IL
1861,2021-01-14,76ers,Tobias Harris,,activated from IL
1862,2021-01-14,Bulls,,Devon Dotson,placed on IL with NBA health and safety protocols
1863,2021-01-14,Bulls,,Luke Kornet,placed on IL with NBA health and safety protocols
1864,2021-01-14,Celtics,,Carsen Edwards,placed on IL with NBA health and safety protocols
1865,2021-01-14,Celtics,Grant Williams,,activated from IL
1866,2021-01-14,Celtics,Tristan Thompson,,activated from IL
1867,2021-01-14,Kings,,Jahmi'us Ramsey,placed on IL with strained left groin
1868,2021-01-14,Pacers,,Victor Oladipo,placed on IL with NBA health and safety protocols
1869,2021-01-14,Pelicans,Zion Williamson,,activated from IL
1870,2021-01-14,Timberwolves,,Juancho Hernangomez / Juan Hernangomez,placed on IL with NBA health and safety protocols
1871,2021-01-15,76ers,,Joel Embiid,placed on IL with sore right knee
1872,2021-01-15,Bucks,Torrey Craig,,activated from IL
1873,2021-01-15,Bulls,Lauri Markkanen,,activated from IL
1874,2021-01-15,Bulls,Otto Porter Jr.,,activated from IL
1875,2021-01-15,Bulls,Ryan Arcidiacono,,activated from IL
1876,2021-01-15,Celtics,,Jayson Tatum,placed on IL with NBA health and safety protocols
1877,2021-01-15,Hawks,Onyeka Okongwu,,activated from IL
1878,2021-01-15,Hawks,Rajon Rondo,,activated from IL
1879,2021-01-15,Kings,,Hassan Whiteside,placed on IL with sore left hip
1880,2021-01-15,Knicks,Reggie Bullock,,activated from IL
1881,2021-01-15,Lakers,Wesley Matthews / Wes Matthews Jr.,,activated from IL
1882,2021-01-15,Pelicans,Eric Bledsoe,,activated from IL
1883,2021-01-16,Blazers,,Jusuf Nurkic,placed on IL with fractured right wrist
1884,2021-01-16,Grizzlies,Ja Morant,,activated from IL
1885,2021-01-16,Grizzlies,Killian Tillie,,activated from IL
1886,2021-01-16,Heat,,Avery Bradley,placed on IL with NBA health and safety protocols
1887,2021-01-16,Heat,,Jimmy Butler,placed on IL with NBA health and safety protocols
1888,2021-01-16,Heat,Goran Dragic,,activated from IL
1889,2021-01-16,Heat,K.Z. Okpala,,activated from IL
1890,2021-01-16,Heat,Kendrick Nunn,,activated from IL
1891,2021-01-16,Heat,Maurice Harkless / Moe Harkless,,activated from IL
1892,2021-01-16,Pistons,,Frank Jackson,placed on IL with sprained left ankle
1893,2021-01-16,Pistons,Derrick Rose,,activated from IL
1894,2021-01-16,Rockets,Rodions Kurucs,,activated from IL
1895,2021-01-16,Rockets,Victor Oladipo,,activated from IL
1896,2021-01-17,76ers,Furkan Korkmaz,,activated from IL
1897,2021-01-17,Celtics,,Tacko Fall,placed on IL with sprained left ankle
1898,2021-01-17,Celtics,Kemba Walker,,activated from IL
1899,2021-01-17,Clippers,,Serge Ibaka,placed on IL with illness
1900,2021-01-17,Grizzlies,,Jonas Valanciunas,placed on IL with NBA health and safety protocols
1901,2021-01-17,Jazz,,Elijah Hughes,placed on IL with sprained left ankle
1902,2021-01-17,Pacers,,JaKarr Sampson,placed on IL with sore back
1903,2021-01-17,Pacers,,Myles Turner,placed on IL with fractured right hand
1904,2021-01-17,Pacers,Brian Bowen II,,activated from IL
1905,2021-01-17,Pacers,Goga Bitadze,,activated from IL
1906,2021-01-17,Pacers,Jalen Lecque,,activated from IL
1907,2021-01-17,Raptors,,Alex Len,placed on IL for NBA health and safety protocols
1908,2021-01-17,Suns,,Damian Jones,placed on IL with NBA health and safety protocols
1909,2021-01-17,Suns,,Dario Saric,placed on IL with NBA health and safety protocols
1910,2021-01-18,Blazers,,C.J. McCollum,placed on IL with fractured left foot
1911,2021-01-18,Bulls,,Otto Porter Jr.,placed on IL with strained lower back
1912,2021-01-18,Bulls,,Patrick Williams,placed on IL with bruised right hip
1913,2021-01-18,Bulls,Devon Dotson,,activated from IL
1914,2021-01-18,Bulls,Luke Kornet,,activated from IL
1915,2021-01-18,Mavericks,Jalen Brunson,,activated from IL
1916,2021-01-18,Rockets,,John Wall (Hildred),placed on IL with sore left knee
1917,2021-01-18,Timberwolves,,Karl-Anthony Towns,placed on IL with COVID-19
1918,2021-01-18,Timberwolves,,Ricky Rubio,placed on IL with NBA health and safety protocols (DTD)
1919,2021-01-19,76ers,Joel Embiid,,activated from IL
1920,2021-01-19,76ers,Seth Curry,,activated from IL
1921,2021-01-19,Celtics,Tacko Fall,,activated from IL
1922,2021-01-19,Clippers,Serge Ibaka,,activated from IL
1923,2021-01-19,Jazz,Joe Ingles,,activated from IL
1924,2021-01-19,Jazz,Juwan Morgan,,activated from IL
1925,2021-01-19,Pelicans,Lonzo Ball,,activated from IL
1926,2021-01-19,Rockets,Brodric Thomas,,activated from IL
1927,2021-01-20,76ers,,(James) Mike Scott,placed on IL with right knee injury
1928,2021-01-20,76ers,,Seth Curry,placed on IL with conditioning
1929,2021-01-20,Cavaliers,Dylan Windler,,activated from IL
1930,2021-01-20,Cavaliers,Jarrett Allen,,activated from IL
1931,2021-01-20,Cavaliers,Taurean Prince,,activated from IL
1932,2021-01-20,Celtics,Robert Williams III,,activated from IL
1933,2021-01-20,Magic,Evan Fournier,,activated from IL
1934,2021-01-20,Pacers,JaKarr Sampson,,activated from IL
1935,2021-01-20,Pacers,Jeremy Lamb,,activated from IL
1936,2021-01-20,Pistons,Frank Jackson,,activated from IL
1937,2021-01-21,Knicks,,Austin Rivers,placed on IL with sore right Achilles
1938,2021-01-21,Knicks,Alec Burks,,activated from IL
1939,2021-01-21,Rockets,,Christian Wood,placed on IL with sprained right ankle
1940,2021-01-21,Spurs,Keita Bates-Diop,,activated from IL
1941,2021-01-21,Thunder,,Josh Hall,placed on IL with NBA health and safety protocols
1942,2021-01-22,76ers,Seth Curry,,activated from IL
1943,2021-01-22,Bulls,,Adam Mokoka,placed on IL with concussion
1944,2021-01-22,Bulls,,Devon Dotson,placed on IL with NBA health and safety protocols
1945,2021-01-22,Bulls,,Wendell Carter Jr.,placed on IL with bruised right quadriceps
1946,2021-01-22,Bulls,Chandler Hutchison,,activated from IL
1947,2021-01-22,Bulls,Otto Porter Jr.,,activated from IL
1948,2021-01-22,Bulls,Patrick Williams,,activated from IL
1949,2021-01-22,Bulls,Tomas Satoransky,,activated from IL
1950,2021-01-22,Cavaliers,Darius Garland,,activated from IL
1951,2021-01-22,Celtics,,Aaron Nesmith,placed on IL with lower back spasms
1952,2021-01-22,Hawks,Danilo Gallinari,,activated from IL
1953,2021-01-22,Heat,,Tyler Herro,placed on IL with neck spasms
1954,2021-01-22,Hornets,Cody Zeller,,activated from IL
1955,2021-01-22,Nuggets,,Markus Howard,placed on IL
1956,2021-01-22,Nuggets,Michael Porter Jr.,,activated from IL
1957,2021-01-22,Pacers,Myles Turner,,activated from IL
1958,2021-01-22,Raptors,,Kyle Lowry,placed on IL with toe injury
1959,2021-01-22,Suns,Jalen Smith,,activated from IL
1960,2021-01-22,Timberwolves,Ricky Rubio,,activated from IL
1961,2021-01-23,Bulls,Devon Dotson,,activated from IL
1962,2021-01-23,Celtics,,Payton Pritchard,placed on IL with sprained MCL in right knee
1963,2021-01-23,Celtics,Carsen Edwards,,activated from IL
1964,2021-01-23,Pistons,,Blake Griffin,placed on IL with left knee injury
1965,2021-01-23,Pistons,,Derrick Rose,placed on IL with sore left knee
1966,2021-01-23,Rockets,,Victor Oladipo,placed on IL with right quadricep injury
1967,2021-01-23,Rockets,John Wall (Hildred),,activated from IL
1968,2021-01-23,Timberwolves,,D'Angelo Russell,placed on IL with bruised right quadriceps
1969,2021-01-24,Blazers,,Keljin Blevins,placed on IL
1970,2021-01-24,Cavaliers,,Lamar Stevens,placed on IL
1971,2021-01-24,Celtics,Aaron Nesmith,,activated from IL
1972,2021-01-24,Clippers,,Marcus Morris,placed on IL with illness
1973,2021-01-24,Knicks,,Reggie Bullock,placed on IL with sore neck
1974,2021-01-24,Knicks,Austin Rivers,,activated from IL
1975,2021-01-24,Knicks,Frank Ntilikina,,activated from IL
1976,2021-01-24,Raptors,,Pascal Siakam,placed on IL with left knee injury
1977,2021-01-24,Wizards,,Davis Bertans,placed on IL with NBA health and safety protocols
1978,2021-01-24,Wizards,,Deni Avdija,placed on IL with NBA health and safety protocols
1979,2021-01-24,Wizards,,Ishmael Smith / Ish Smith,placed on IL with NBA health and safety protocols
1980,2021-01-24,Wizards,,Rui Hachimura,placed on IL with NBA health and safety protocols
1981,2021-01-24,Wizards,,Troy Brown Jr.,placed on IL with NBA health and safety protocols
1982,2021-01-24,Wizards,Russell Westbrook,,activated from IL
1983,2021-01-25,76ers,,Joel Embiid,placed on IL with back injury
1984,2021-01-25,Blazers,Keljin Blevins,,activated from IL
1985,2021-01-25,Cavaliers,,Larry Nance Jr.,placed on IL with sprained right wrist
1986,2021-01-25,Cavaliers,Lamar Stevens,,activated from IL
1987,2021-01-25,Celtics,,Kemba Walker,placed on IL with left knee injury
1988,2021-01-25,Celtics,Jayson Tatum,,activated from IL
1989,2021-01-25,Clippers,,Kawhi Leonard,placed on IL with NBA health and safety protocols
1990,2021-01-25,Clippers,,Patrick Beverley,placed on IL with sore right knee
1991,2021-01-25,Clippers,,Paul George,placed on IL with NBA health and safety protocols
1992,2021-01-25,Clippers,Marcus Morris,,activated from IL
1993,2021-01-25,Hornets,,Nick Richards,placed on IL with sprained left ankle
1994,2021-01-25,Pistons,Blake Griffin,,activated from IL
1995,2021-01-25,Raptors,Kyle Lowry,,activated from IL
1996,2021-01-25,Thunder,,George Hill,placed on IL with sprained right thumb
1997,2021-01-26,76ers,Joel Embiid,,activated from IL
1998,2021-01-26,Nuggets,,P.J. Dozier,placed on IL with strained right hamstring
1999,2021-01-26,Rockets,Danuel House,,activated from IL
2000,2021-01-26,Rockets,Victor Oladipo,,activated from IL
2001,2021-01-26,Timberwolves,,Jarrett Culver,placed on IL with sprained left ankle
2002,2021-01-27,Cavaliers,,Lamar Stevens,placed on IL with strained abdominal
2003,2021-01-27,Celtics,Kemba Walker,,activated from IL
2004,2021-01-27,Hawks,,Rajon Rondo,placed on IL with sprained left ankle
2005,2021-01-27,Heat,,Chris Silva,placed on IL with left hip flexor injury
2006,2021-01-27,Heat,,Meyers Leonard,placed on IL with strained left shoulder
2007,2021-01-27,Heat,Avery Bradley,,activated from IL
2008,2021-01-27,Hornets,,Jalen McDaniels,placed on IL
2009,2021-01-27,Jazz,,Derrick Favors,placed on IL with sore lower back
2010,2021-01-27,Jazz,,Donovan Mitchell,placed on IL with concussion
2011,2021-01-27,Kings,,Nemanja Bjelica,placed on IL with back spasms
2012,2021-01-27,Kings,Hassan Whiteside,,activated from IL
2013,2021-01-27,Mavericks,Dorian Finney-Smith,,activated from IL
2014,2021-01-27,Mavericks,Dwight Powell,,activated from IL
2015,2021-01-27,Mavericks,Josh Richardson,,activated from IL
2016,2021-01-27,Nuggets,Markus Howard,,activated from IL
2017,2021-01-27,Pistons,,Blake Griffin,placed on IL with left knee injury
2018,2021-01-27,Pistons,Derrick Rose,,activated from IL
2019,2021-01-27,Raptors,,Ogugua Anunoby / O.G. Anunoby,placed on IL with strained left calf
2020,2021-01-27,Raptors,Pascal Siakam,,activated from IL
2021,2021-01-27,Spurs,Drew Eubanks,,activated from IL
2022,2021-01-27,Hornets,Nick Richards,,activated from IL
2023,2021-01-28,Heat,Tyler Herro,,activated from IL
2024,2021-01-28,Lakers,,Anthony Davis,placed on IL with bruised right quadriceps
2025,2021-01-28,Pistons,Blake Griffin,,activated from IL
2026,2021-01-28,Rockets,Christian Wood,,activated from IL
2027,2021-01-28,Thunder,Josh Hall,,activated from IL
2028,2021-01-28,Wizards,Davis Bertans,,activated from IL
2029,2021-01-28,Wizards,Rui Hachimura,,activated from IL
2030,2021-01-29,76ers,(James) Mike Scott,,activated from IL
2031,2021-01-29,Blazers,,Derrick Jones Jr.,placed on IL with sprained left foot
2032,2021-01-29,Blazers,,Robert Covington,placed on IL with concussion
2033,2021-01-29,Cavaliers,Larry Nance Jr.,,activated from IL
2034,2021-01-29,Clippers,Kawhi Leonard,,activated from IL
2035,2021-01-29,Clippers,Paul George,,activated from IL
2036,2021-01-29,Grizzlies,,Grayson Allen,placed on IL with NBA health and safety protocols
2037,2021-01-29,Grizzlies,,Killian Tillie,placed on IL with left foot injury
2038,2021-01-29,Grizzlies,,Sean McDermott,placed on IL with left shoulder injury
2039,2021-01-29,Hawks,Rajon Rondo,,activated from IL
2040,2021-01-29,Pelicans,,Naji Marshall,placed on IL with sprained left ankle
2041,2021-01-29,Raptors,,Norman Powell,placed on IL with bruised right quadriceps
2042,2021-01-29,Timberwolves,D'Angelo Russell,,activated from IL
