,Date,Team,Acquired,Relinquished,Notes
1663,2021-05-08,Raptors,Yuta Watanabe,,returned to lineup
1664,2021-05-08,Rockets,,Kelly Olynyk,sore right ankle (DTD)
1665,2021-05-08,Rockets,Jae'Sean Tate,,returned to lineup
1666,2021-05-09,Cavaliers,,Cedi Osman,sore right ankle (DTD)
1667,2021-05-09,Cavaliers,,Isaiah Hartenstein,concussion (out for season)
1668,2021-05-09,Cavaliers,Kevin Love,,returned to lineup
1669,2021-05-09,Lakers,,Kyle Kuzma,tightness in lower back (DTD)
1670,2021-05-09,Pistons,,Cory Joseph,sore left ankle (DTD)
1671,2021-05-09,Pistons,,Jerami Grant,sore right knee (out for season)
1672,2021-05-09,Pistons,,Wayne Ellington,calf injury (out for season)
1673,2021-05-09,Raptors,,Rodney Hood,fractured left hand (out for season)
1674,2021-05-09,Timberwolves,,Juancho Hernangomez / Juan Hernangomez,bruised left quadricep (DTD)
1675,2021-05-10,Cavaliers,,Kevin Love,right calf injury (DTD)
1676,2021-05-10,Nuggets,Aaron Gordon,,returned to lineup
1677,2021-05-10,Rockets,Kelly Olynyk,,returned to lineup
1678,2021-05-10,Timberwolves,Jaden McDaniels,,activated from IL
1679,2021-05-11,76ers,,Shake Milton,right knee injury (DTD)
1680,2021-05-11,Cavaliers,Kevin Love,,returned to lineup
1681,2021-05-11,Lakers,Kyle Kuzma,,returned to lineup
1682,2021-05-11,Magic,,Mohamed Bamba / Mo Bamba,illness (DTD)
1683,2021-05-11,Magic,Wendell Carter Jr.,,returned to lineup
1684,2021-05-11,Mavericks,Maximilian Kleber / Maxi Kleber,,returned to lineup
1685,2021-05-11,Pacers,,Aaron Holiday,right big toe injury (out for season)
1686,2021-05-11,Thunder,,Josh Hall,right groin injury (DTD)
1687,2021-05-11,Timberwolves,Juancho Hernangomez / Juan Hernangomez,,returned to lineup
1688,2021-05-12,Mavericks,Tyrell Terry,,activated from IL
1689,2021-05-12,Pelicans,,Lonzo Ball,sprained right thumb (out for season)
1690,2021-05-12,Rockets,,Danuel House,sore right ankle (out for season)
1691,2021-05-12,Rockets,,DaQuan Jeffries,sore right ankle (DTD)
1692,2021-05-13,76ers,Shake Milton,,returned to lineup
1693,2021-05-13,Pacers,,Caris LeVert,bruised right knee (DTD)
1694,2021-05-13,Pistons,,Isaiah Stewart,placed on IL for personal reasons (out for season)
1695,2021-05-13,Raptors,Aron Baynes,,returned to lineup
1696,2021-05-13,Suns,,Deandre Ayton,sore left knee (DTD)
1697,2021-05-13,Rockets,DaQuan Jeffries,,returned to lineup
1698,2021-05-14,Cavaliers,,Kevin Love,right calf injury (out for season)
1699,2021-05-14,Cavaliers,Cedi Osman,,returned to lineup
1700,2021-05-14,Clippers,,Terance Mann,placed on IL for personal reasons
1701,2021-05-14,Grizzlies,,Brandon Clarke,right thigh injury (DTD)
1702,2021-05-14,Grizzlies,,Dillon Brooks,sore left knee (DTD)
1703,2021-05-14,Grizzlies,,Jonas Valanciunas,sore back (DTD)
1704,2021-05-14,Grizzlies,,Kyle Anderson,right thumb injury (DTD)
1705,2021-05-14,Kings,,Hassan Whiteside,tightness in lower back (out for season)
1706,2021-05-14,Magic,Mohamed Bamba / Mo Bamba,,returned to lineup
1707,2021-05-14,Mavericks,,Maximilian Kleber / Maxi Kleber,right Achilles injury (DTD)
1708,2021-05-14,Pelicans,,Wesley Iwundu / Wes Iwundu,sprained left shoulder (out for season)
1709,2021-05-14,Pistons,,Sekou Doumbouya,placed on IL for personal reasons (out for season)
1710,2021-05-14,Pistons,Hamidou Diallo,,activated from IL
1711,2021-05-14,Raptors,,Yuta Watanabe,sore right ankle (out for season)
1712,2021-05-14,Warriors,,Andrew Wiggins,sore left knee (DTD)
1713,2021-05-14,Warriors,,Draymond Green,finger injury (DTD)
1714,2021-05-14,Warriors,,Stephen Curry,tailbone injury (DTD)
1715,2021-05-14,Warriors,Eric Paschall,,returned to lineup
1716,2021-05-15,Heat,,Jimmy Butler,tightness in lower back (DTD)
1717,2021-05-15,Pacers,,Domantas Sabonis / Domas Sabonis,left quadriceps injury (DTD)
1718,2021-05-15,Pacers,Caris LeVert,,returned to lineup
1719,2021-05-15,Spurs,,Dejounte Murray,sore lower back (DTD)
1720,2021-05-15,Spurs,,Rudy Gay,right heel injury (DTD)
1721,2021-05-15,Warriors,Andrew Wiggins,,returned to lineup
1722,2021-05-15,Warriors,Draymond Green,,returned to lineup
1723,2021-05-15,Warriors,Stephen Curry,,returned to lineup
1724,2021-05-16,Bucks,,Bobby Portis,patellar tendinitis in right knee (DTD)
1725,2021-05-16,Bucks,,Brook Lopez,spine injury (DTD)
1726,2021-05-16,Bucks,,Bryn Forbes,patellar tendinitis in left knee (DTD)
1727,2021-05-16,Bucks,,Donte DiVincenzo,right big toe injury (DTD)
1728,2021-05-16,Bucks,,Giannis Antetokounmpo,sore left knee (DTD)
1729,2021-05-16,Bucks,,Jrue Holiday,right hip injury (DTD)
1730,2021-05-16,Cavaliers,,Darius Garland,left ankle injury (out for season)
1731,2021-05-16,Celtics,,Evan Fournier,right knee injury (out for season)
1732,2021-05-16,Celtics,,Jayson Tatum,left ankle injury (out for season)
1733,2021-05-16,Clippers,,DeMarcus Cousins,sore left foot (DTD)
1734,2021-05-16,Clippers,Terance Mann,,activated from IL
1735,2021-05-16,Grizzlies,Brandon Clarke,,returned to lineup
1736,2021-05-16,Grizzlies,Dillon Brooks,,returned to lineup
1737,2021-05-16,Grizzlies,Jonas Valanciunas,,returned to lineup
1738,2021-05-16,Grizzlies,Kyle Anderson,,returned to lineup
1739,2021-05-16,Hawks,,Kevin Huerter,sore left ankle (DTD)
1740,2021-05-16,Hawks,,Kris Dunn,left ankle injury (DTD)
1741,2021-05-16,Heat,,Andre Iguodala,left hip injury (DTD)
1742,2021-05-16,Heat,,Goran Dragic,back injury (DTD)
1743,2021-05-16,Heat,,Kendrick Nunn,left calf injury (DTD)
1744,2021-05-16,Kings,,Justin James,sprained right ankle (out for season)
1745,2021-05-16,Magic,,Wendell Carter Jr.,left eye injury (out for season)
1746,2021-05-16,Nets,,James Harden,right hamstring injury (DTD)
1747,2021-05-16,Pacers,Domantas Sabonis / Domas Sabonis,,returned to lineup
1748,2021-05-16,Pistons,Cory Joseph,,returned to lineup
1749,2021-05-16,Raptors,,Jalen Harris,sore left foot (out for season)
1750,2021-05-16,Spurs,Dejounte Murray,,returned to lineup
1751,2021-05-16,Spurs,Rudy Gay,,returned to lineup
1752,2021-05-16,Suns,,Jae Crowder,right ankle injury (DTD)
1753,2021-05-22,Bucks,Bobby Portis,,returned to lineup
1754,2021-05-22,Bucks,Brook Lopez,,returned to lineup
1755,2021-05-22,Bucks,Bryn Forbes,,returned to lineup
1756,2021-05-22,Bucks,Donte DiVincenzo,,returned to lineup
1757,2021-05-22,Bucks,Giannis Antetokounmpo,,returned to lineup
1758,2021-05-22,Bucks,Jrue Holiday,,returned to lineup
1759,2021-05-22,Heat,Andre Iguodala,,returned to lineup
1760,2021-05-22,Heat,Goran Dragic,,returned to lineup
1761,2021-05-22,Heat,Jimmy Butler,,returned to lineup
1762,2021-05-22,Heat,Kendrick Nunn,,returned to lineup
1763,2021-05-22,Mavericks,Maximilian Kleber / Maxi Kleber,,returned to lineup
1764,2021-05-22,Nets,James Harden,,returned to lineup
1765,2021-05-23,Hawks,Kevin Huerter,,returned to lineup
1766,2021-05-23,Hawks,Kris Dunn,,returned to lineup
1767,2021-05-23,Suns,Jae Crowder,,returned to lineup
1768,2021-05-28,Bucks,,Donte DiVincenzo,left ankle injury (out for season)
1769,2021-05-30,Nets,,Alize Johnson,sprained left ankle (DTD)
1770,2021-06-01,Lakers,,Anthony Davis,strained left groin (DTD)
1771,2021-06-03,Lakers,Anthony Davis,,returned to lineup
1772,2021-06-05,Nets,Alize Johnson,,returned to lineup
1773,2021-06-06,Hawks,,De'Andre Hunter,sore right knee (out for season)
1774,2021-06-11,Clippers,,Serge Ibaka,surgery on back (out for season)
1775,2021-06-29,Hawks,,Trae Young,right foot injury (DTD)
1776,2021-07-03,Hawks,Trae Young,,returned to lineup
1777,2021-07-07,Suns,,Dario Saric,torn ACL in knee (out indefinitely)
1778,2021-07-14,Bucks,,Sam Merrill,sprained right ankle (DTD)
